trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.001, 'e': 0.867621256485914}",20,5,-56.848395356889554,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 0}",1
143,False,"{'a': 0.001, 'e': 0.8667540688954889}",25,3,-80.37630544980958,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
144,False,"{'a': 0.001, 'e': 0.865887748059205}",20,0,-115.75501554694223,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
145,False,"{'a': 0.001, 'e': 0.8650222931107413}",30,8,-120.99999366028823,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 2}",1
146,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,9,-64.66334036597102,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.001, 'e': 0.8632939774163194}",20,0,-45.85310742641054,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
148,False,"{'a': 0.001, 'e': 0.8624311149420455}",25,0,-124.15340024729414,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
149,False,"{'a': 0.001, 'e': 0.8615691148989583}",20,0,-68.33672588370038,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
150,False,"{'a': 0.001, 'e': 0.8607079764250578}",20,0,-46.84032322228232,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.001, 'e': 0.8598476986592055}",35,0,-141.61882916313695,"{0: 24, 1: 4, 2: 3, 3: 2, 4: 2}",0
152,False,"{'a': 0.001, 'e': 0.8589882807411234}",35,5,-124.01886110415741,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",1
153,False,"{'a': 0.001, 'e': 0.8581297218113938}",30,3,-75.23774909019265,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 1}",1
154,False,"{'a': 0.001, 'e': 0.8572720210114575}",20,3,-149.86334261447774,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
155,False,"{'a': 0.001, 'e': 0.8564151774836135}",35,8,-138.14702152721668,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 2}",1
156,False,"{'a': 0.001, 'e': 0.8555591903710185}",25,0,-63.457838953663185,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
157,False,"{'a': 0.001, 'e': 0.8547040588176851}",25,0,-99.35805770960692,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
158,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,0,-94.02740917122861,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
159,False,"{'a': 0.001, 'e': 0.8529963589691315}",20,0,-33.544826115928764,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.001, 'e': 0.8521437889662113}",35,15,-52.066063158938576,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",1
161,False,"{'a': 0.001, 'e': 0.8512920711071511}",30,13,-54.318709883932556,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.001, 'e': 0.850441204540233}",25,0,-63.27446725257702,"{0: 14, 1: 8, 2: 2, 3: 1, 4: 0}",0
163,False,"{'a': 0.001, 'e': 0.8495911884145902}",25,3,-109.60322866054995,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 2}",1
164,False,"{'a': 0.001, 'e': 0.8487420218802068}",25,8,-56.51603699698297,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
165,False,"{'a': 0.001, 'e': 0.8478937040879159}",20,0,-78.09962087447494,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.8470462341893996}",30,0,-130.7304325669817,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
167,False,"{'a': 0.001, 'e': 0.8461996113371882}",30,0,-72.64021778441517,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",1
168,False,"{'a': 0.001, 'e': 0.8453538346846587}",25,0,-40.13393257899167,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
169,False,"{'a': 0.001, 'e': 0.8445089033860343}",30,4,-97.23079369860746,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 1}",1
170,False,"{'a': 0.001, 'e': 0.8436648165963837}",20,4,-56.785617355232226,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
171,False,"{'a': 0.001, 'e': 0.8428215734716199}",20,0,-193.75702263130836,"{0: 9, 1: 3, 2: 1, 3: 5, 4: 2}",0
172,False,"{'a': 0.001, 'e': 0.8419791731684999}",25,0,-185.4161269558427,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
173,False,"{'a': 0.001, 'e': 0.8411376148446232}",25,0,-62.673033176273236,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
